證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"1720","生達","652000","27397500","42.90","42.90","41.70","41.95","-0.7500","420"
"1721","三晃","34054000","990954300","29.05","30.00","28.35","28.65","-0.3500","15166"
"1722","台肥","1940000","134393000","69.50","69.70","68.90","69.10","-0.4000","925"
"1723","中碳","658000","77110500","117.50","118.00","116.50","117.00","0.5000","484"
"1725","元禎","462000","15910200","35.40","35.45","34.15","34.20","-1.0000","350"
"1726","永記","12000","884100","74.10","74.10","73.50","73.60","0.0000","12"
"1727","中華化","7879000","394062500","50.10","51.20","49.10","49.65","-0.6500","4509"
"1730","花仙子","30000","1893000","63.40","63.50","63.00","63.00","-0.4000","29"
"1731","美吾華","738000","14452050","19.50","19.80","19.45","19.60","0.1500","251"
"1732","毛寶","1957000","63736350","32.00","33.25","32.00","32.45","0.3500","1160"
"1733","五鼎","613000","15652950","25.50","25.70","25.25","25.45","0.2500","321"
"1734","杏輝","483000","13908700","28.90","28.95","28.65","28.85","-0.0500","305"
"1735","日勝化","8000","145600","18.20","18.20","18.20","18.20","0.0000","4"
"1736","喬山","145000","8202600","57.30","57.30","56.30","56.60","-0.2000","124"
"1737","臺鹽","89000","2952400","33.20","33.20","33.15","33.15","-0.0500","66"
"1760","寶齡富錦","479000","33970500","71.90","71.90","70.50","70.90","-0.2000","298"
"1762","中化生","175000","11354400","65.10","65.30","64.70","64.80","-0.1000","103"
"1773","勝一","162000","23152500","143.50","144.00","142.50","143.00","0.0000","118"
"1776","展宇","54000","1143550","21.30","21.35","21.00","21.25","-0.0500","36"
"1783","和康生","109000","5669400","52.30","52.30","51.80","52.00","-0.1000","94"
"1786","科妍","8000","396150","49.50","49.55","49.50","49.55","-0.1000","7"
"1789","神隆","365000","8822450","24.20","24.30","24.05","24.15","0.0000","197"
"1795","美時","2428000","238075000","98.00","99.10","97.40","97.70","-0.1000","1327"
"1802","台玻","7791000","207824350","26.50","26.95","26.40","26.55","0.1500","2997"
"1805","寶徠","38000","532050","14.00","14.05","13.85","14.00","0.0000","22"
"1806","冠軍","4009000","50198350","12.60","12.80","12.30","12.40","-0.2000","1523"
"1808","潤隆","951000","54447400","56.90","58.00","56.10","57.00","-1.5000","410"
"1809","中釉","2044000","32632450","15.85","16.25","15.60","16.20","0.5000","763"
"1810","和成","3635000","63895350","17.35","17.85","17.30","17.55","0.1000","1271"
"1817","凱撒衛","23000","849600","37.00","37.00","36.85","36.95","0.0500","15"
"1903","士紙","157000","10228300","64.70","65.70","64.60","65.10","0.5000","71"
"1904","正隆","4844000","169090250","34.55","35.20","34.45","35.05","0.7000","2342"
"1905","華紙","9001000","215644150","23.85","24.20","23.75","23.85","0.3000","3649"
"1906","寶隆","293000","5973750","20.50","20.50","20.25","20.35","0.0000","120"
"1907","永豐餘","2439000","83282350","34.00","34.35","33.85","34.25","0.4000","1184"
"1909","榮成","6489000","156520550","24.00","24.30","23.90","24.20","0.3500","2379"
"2002","中鋼","58169000","2058427550","35.60","35.65","35.10","35.50","-0.1500","13172"
"2002A","中鋼特","62000","3206900","51.80","52.00","51.60","52.00","0.0000","44"
"2006","東和鋼鐵","3452000","234018300","67.60","68.20","67.40","68.20","0.6000","1557"
"2007","燁興","1040000","22450650","21.50","21.75","21.45","21.60","0.0000","501"
"2008","高興昌","100000","2005900","20.30","20.30","19.95","20.15","0.2000","56"
"2009","第一銅","2772000","122528950","43.80","44.60","43.75","44.40","0.9000","1511"
"2010","春源","6113000","154025750","25.50","25.50","25.05","25.20","-0.5000","3215"
"2012","春雨","269000","8427900","31.40","31.75","31.00","31.45","0.2500","164"
"2013","中鋼構","5122000","321653600","63.20","63.80","62.00","62.00","-1.8000","3177"
"2014","中鴻","38536000","1682793550","44.30","44.45","43.05","43.55","-0.3500","15271"
"2015","豐興","218000","18490500","85.60","85.60","84.20","85.00","-0.6000","183"
"2017","官田鋼","713000","14592450","20.70","20.70","20.40","20.45","-0.1500","401"
"2020","美亞","303000","9654950","32.20","32.20","31.80","31.85","-0.1000","159"
"2022","聚亨","3413000","48778800","14.25","14.50","14.15","14.30","0.1000","1231"
"2023","燁輝","9076000","232764650","25.80","25.85","25.30","25.75","0.0500","3427"
"2024","志聯","86000","1722000","20.30","20.35","19.95","19.95","-0.1000","53"
"2025","千興","659000","3871920","6.07","6.07","5.81","5.81","-0.1000","150"
"2027","大成鋼","9584000","454427350","47.85","47.85","47.25","47.35","-0.1000","4184"
"2028","威致","1757000","79331950","45.40","45.70","44.90","44.90","-0.5000","985"
"2029","盛餘","734000","25076300","34.20","34.35","33.95","34.25","0.0500","341"
"2030","彰源","2513000","77983150","31.30","31.35","30.90","30.95","-0.3000","1105"
"2031","新光鋼","4003000","240659400","60.00","60.70","59.20","60.00","0.4000","2274"
"2032","新鋼","377000","9117700","24.55","24.55","24.00","24.10","-0.2500","215"
"2033","佳大","156000","2802700","18.10","18.10","17.85","18.00","0.1000","93"
"2034","允強","714000","23280950","33.00","33.00","32.45","32.60","-0.1000","427"
"2038","海光","1462000","52887100","36.55","36.55","36.00","36.00","-0.2000","725"
"2049","上銀","1375000","404619500","292.00","295.50","292.00","294.50","3.5000","1046"
"2059","川湖","147000","73226000","499.00","501.00","495.00","501.00","3.0000","133"
"2062","橋椿","87000","2350550","27.20","27.20","26.95","27.05","0.0500","60"
"2069","運錩","1095000","38860150","36.00","36.00","35.35","35.50","-0.1500","575"
"2101","南港","962000","37164000","38.75","38.80","38.45","38.75","0.0000","442"
"2102","泰豐","877000","24024350","27.70","27.70","27.15","27.20","-0.3000","477"
"2103","台橡","10179000","423317600","41.70","41.95","41.20","41.55","0.0000","4548"
"2104","國際中橡","4467000","122668700","27.30","27.60","27.25","27.55","0.3500","1765"
"2105","正新","2768000","99480900","35.95","36.20","35.80","35.80","-0.1000","1256"
"2106","建大","561000","17010550","30.30","30.45","30.20","30.45","0.2000","317"
"2107","厚生","228000","5146300","22.55","22.65","22.55","22.55","0.0000","122"
"2108","南帝","3690000","319336600","86.40","87.40","86.10","86.10","-0.7000","1982"
"2109","華豐","134000","2257000","16.80","16.90","16.75","16.90","0.0500","70"
"2114","鑫永銓","8000","965500","120.50","121.00","120.50","121.00","1.0000","7"
"2115","六暉-KY","77000","3086850","40.20","40.40","40.00","40.00","0.0000","54"
"2201","裕隆","1455000","60883450","41.90","42.05","41.60","41.95","0.3500","730"
"2204","中華","745000","46872700","63.30","63.30","62.60","62.90","-0.3000","403"
"2206","三陽工業","262000","6942700","26.45","26.60","26.45","26.55","0.1000","165"
"2207","和泰車","142000","85290000","600.00","606.00","598.00","598.00","-1.0000","124"
"2208","台船","1250000","26837950","21.45","21.60","21.40","21.45","0.0000","629"
"2211","長榮鋼","753000","40953700","55.10","55.10","54.00","54.10","-0.8000","481"
"2227","裕日車","45000","11132500","247.00","249.00","247.00","247.00","-2.0000","45"
"2228","劍麟","27000","1830300","67.60","68.00","67.60","67.90","0.3000","26"
"2231","為升","1526000","284694000","182.00","188.50","182.00","188.50","7.5000","1077"
"2233","宇隆","209000","19910800","94.20","96.30","94.20","95.10","1.1000","164"
"2236","百達-KY","12000","324650","27.70","27.70","26.90","27.10","0.0000","9"
"2239","英利-KY","169000","14028800","82.00","83.60","82.00","83.10","1.6000","146"
"2241","艾姆勒","88000","4418200","50.00","50.50","50.00","50.20","0.2000","72"
"2243","宏旭-KY","143000","2734600","19.35","19.35","19.05","19.10","0.0500","89"
"2247","汎德永業","25000","5250000","209.50","210.50","209.50","209.50","0.0000","22"
"2250","IKKA-KY","250000","29898500","118.50","122.00","118.00","120.00","2.5000","179"
"2301","光寶科","6007000","375118100","61.60","63.20","61.60","62.50","1.0000","2202"
"2302","麗正","479000","8162050","16.85","17.30","16.85","16.95","0.3000","253"
"2303","聯電","70192000","4502478700","64.40","64.50","63.80","63.90","0.2000","24004"
"2305","全友","7373000","70300110","9.22","9.99","9.15","9.98","0.8000","1462"
"2308","台達電","3806000","1023278000","266.00","270.00","266.00","270.00","4.5000","2795"
"2312","金寶","196992000","3237641800","15.95","16.75","15.75","16.75","1.5000","44564"
"2313","華通","15977000","702854050","43.95","44.25","43.65","44.05","0.5000","7068"
"2314","台揚","1881000","139115600","73.50","74.50","73.30","74.30","1.3000","1308"
"2316","楠梓電","1226000","38318700","30.70","31.70","30.60","31.25","0.6000","571"
"2317","鴻海","13750000","1429330000","104.00","104.50","103.50","104.00","0.5000","5279"
"2321","東訊","19000","123860","6.50","6.67","6.50","6.67","0.1700","6"
"2323","中環","12925000","118611780","9.08","9.30","9.05","9.13","0.1300","3204"
"2324","仁寶","17601000","419853450","24.00","24.05","23.80","23.80","-0.2000","4012"
"2327","國巨","4706000","2228718000","473.00","476.50","468.50","476.00","6.5000","3700"
"2328","廣宇","2829000","112080900","40.05","40.05","39.40","39.45","-0.3000","1646"
"2329","華泰","10516000","270406450","25.10","26.20","25.00","26.00","1.0500","4134"
"2330","台積電","16594000","10046971000","607.00","608.00","602.00","606.00","6.0000","7943"
"2331","精英","3025000","68142450","22.50","22.75","22.35","22.50","0.1500","1108"
"2332","友訊","4796000","90439400","18.50","19.10","18.50","19.00","0.6500","1738"
"2337","旺宏","7391000","305645400","41.55","41.65","41.15","41.35","-0.0500","3313"
"2338","光罩","9937000","1008975500","101.50","103.00","100.00","100.00","0.1000","5633"
"2340","光磊","82428000","5465485900","66.60","66.60","64.50","66.60","6.0000","26734"
"2342","茂矽","24569000","1217065050","47.00","51.00","46.60","50.20","3.6000","13600"
"2344","華邦電","20630000","650860750","31.80","31.85","31.30","31.45","0.2000","7097"
"2345","智邦","2110000","550383500","261.00","265.00","255.50","260.00","2.5000","1719"
"2347","聯強","16416000","1100737900","66.30","67.70","65.60","67.70","1.9000","5601"
"2348","海悅","181000","19559500","108.50","109.00","107.50","108.50","0.5000","111"
"2348A","海悅甲特","8000","304000","38.00","38.00","38.00","38.00","0.0500","8"
"2349","錸德","8326000","83559390","9.89","10.25","9.82","9.97","0.0700","2448"
"2351","順德","1687000","269926500","161.00","163.50","158.50","160.00","0.5000","1155"
"2352","佳世達","2846000","85461850","30.15","30.15","29.95","30.05","0.1000","1096"
"2353","宏碁","10275000","307991800","30.20","30.25","29.80","29.95","-0.1000","3739"
"2354","鴻準","1814000","117053300","64.40","64.80","64.20","64.60","0.5000","1026"
"2355","敬鵬","5932000","217518000","36.30","37.00","36.30","36.65","0.5000","2729"
"2356","英業達","6365000","158340000","25.10","25.10","24.80","24.85","-0.0500","1907"
"2357","華碩","1833000","679228500","370.00","371.50","369.50","371.00","1.0000","1165"
"2358","廷鑫","7747000","179568950","22.90","23.60","22.85","23.30","0.0500","3604"
"2359","所羅門","1165000","21153150","18.15","18.35","17.95","18.20","0.5500","501"
"2360","致茂","1952000","394371500","196.00","206.00","194.00","206.00","11.0000","1423"
"2362","藍天","269000","8514400","31.75","31.90","31.50","31.90","0.1500","191"
"2363","矽統","3888000","99245700","25.50","25.70","25.40","25.50","0.2500","1708"
"2364","倫飛","4000","74850","18.55","18.95","18.55","18.70","-0.2500","4"
"2365","昆盈","900000","10338550","11.35","11.65","11.35","11.60","0.2500","294"
"2367","燿華","16783000","335715450","19.80","20.40","19.55","20.20","0.5500","6099"
"2368","金像電","27405000","2122346500","77.80","78.80","76.00","76.10","-0.7000","15980"
"2369","菱生","6810000","179357300","26.25","26.60","26.10","26.35","0.4500","2778"
"2371","大同","23978000","761077400","31.75","32.10","31.45","31.65","-0.1000","8170"
"2373","震旦行","10000","900700","90.20","90.20","90.00","90.10","0.0000","7"
"2374","佳能","64536000","1737962350","26.00","27.70","25.65","27.70","2.5000","25024"
"2375","凱美","3264000","325200900","99.70","101.50","98.70","98.70","-0.4000","2237"
"2376","技嘉","10499000","1639359500","158.00","159.00","155.00","155.00","-2.0000","5375"
"2377","微星","1871000","302424000","163.50","164.00","160.50","161.00","-1.0000","1136"
"2379","瑞昱","1461000","836957000","579.00","584.00","567.00","572.00","-1.0000","1276"
"2380","虹光","5426000","92162100","17.40","17.70","16.55","17.00","-0.4000","2495"
"2382","廣達","4068000","366584000","90.10","90.40","89.70","90.30","0.3000","2360"
"2383","台光電","2327000","652115000","278.50","282.50","276.00","281.00","5.5000","1801"
"2385","群光","2754000","225767900","81.90","82.40","81.50","82.20","0.9000","1264"
"2387","精元","846000","38189500","45.10","45.60","44.85","45.00","0.0000","462"
"2388","威盛","19649000","1749622500","87.80","90.20","87.40","89.40","2.9000","10957"
"2390","云辰","1470000","33342300","22.65","23.00","22.50","22.60","0.1000","707"
"2392","正崴","461000","17928150","38.95","39.00","38.75","39.00","0.2500","280"
"2393","億光","2660000","138758400","51.90","52.50","51.80","52.00","0.4000","1495"
"2395","研華","562000","222425500","386.50","401.50","386.50","394.50","8.0000","468"
"2397","友通","11000","660500","60.50","60.50","59.50","60.40","0.0000","10"
"2399","映泰","84639000","2244068950","26.05","27.20","25.50","27.00","1.6500","33046"
"2401","凌陽","3920000","152873850","39.20","39.40","38.75","38.75","-0.0500","2177"
"2402","毅嘉","575000","9795250","17.00","17.15","16.90","17.05","0.1500","270"
"2404","漢唐","2306000","400692500","172.50","175.00","172.00","174.50","3.0000","1053"
"2405","浩鑫","8327000","159889550","19.45","19.45","19.00","19.25","0.1000","3349"
"2406","國碩","6523000","233541250","36.00","36.35","35.40","35.60","0.2000","3183"
"2408","南亞科","11576000","881793100","77.40","77.50","75.80","75.90","-0.6000","6829"
"2409","友達","63268000","1414389400","22.35","22.65","22.20","22.20","-0.0500","11754"
"2412","中華電","11356000","1310527000","116.00","116.00","114.50","115.50","0.0000","1931"
"2413","環科","621000","14060900","22.60","23.05","22.50","22.70","0.0000","360"
"2414","精技","122000","4606800","37.55","37.90","37.55","37.75","0.2000","49"
"2415","錩新","212000","9221300","43.20","44.00","43.20","43.55","0.4000","170"
"2417","圓剛","7888000","210652550","25.15","27.30","25.10","27.30","2.4500","3688"
"2419","仲琦","1451000","34600650","24.10","24.15","23.70","23.85","0.0500","776"
"2420","新巨","664000","29561100","44.85","44.85","44.30","44.55","-0.2500","505"
"2421","建準","3399000","145070000","42.70","43.35","42.25","42.50","0.2500","2024"
"2423","固緯","247000","6970850","28.45","28.50","28.05","28.25","-0.1000","169"
"2424","隴華","5000","107050","21.30","21.60","21.25","21.25","0.0000","5"
"2425","承啟","3005000","89570900","29.95","30.60","29.10","29.45","-0.5500","1547"
"2426","鼎元","25573000","752367650","29.15","29.90","28.85","29.00","1.0000","12454"
"2427","三商電","602000","7082400","11.75","11.85","11.70","11.75","0.0500","157"
"2428","興勤","219000","33992000","155.50","156.00","154.50","155.00","0.5000","178"
"2429","銘旺科","136000","3027750","22.50","22.55","21.95","22.25","0.3000","78"
"2430","燦坤","166000","6235750","37.65","37.70","37.45","37.50","-0.1500","110"
"2431","聯昌","13405000","191576550","14.00","14.65","13.80","14.15","0.0500","3110"
"2433","互盛電","11000","561900","51.00","51.30","51.00","51.10","0.1000","11"
"2434","統懋","6000","244400","40.50","41.40","40.50","41.40","0.4000","5"
"2436","偉詮電","12147000","1182867100","98.90","99.60","95.90","96.00","-1.6000","8340"
"2438","翔耀","930000","15005550","14.85","16.25","14.85","16.25","1.4500","399"
"2439","美律","986000","93564500","95.10","95.60","94.50","94.90","0.7000","713"
"2440","太空梭","4760000","90581200","18.00","19.30","17.80","19.30","1.7500","2024"
"2441","超豐","2115000","161479900","76.50","76.80","75.80","76.60","0.6000","1058"
"2442","新美齊","1487000","19552450","13.15","13.30","13.05","13.30","0.2500","490"
"2443","億麗","110000","326000","3.01","3.01","2.96","3.01","0.0000","16"
"2444","兆勁","1787000","26471350","15.05","15.15","14.55","14.85","-0.2000","782"
"2449","京元電子","7135000","310912500","43.55","44.10","43.30","43.55","0.3500","3559"
"2450","神腦","87000","2859500","32.80","32.95","32.80","32.85","0.0000","49"
"2451","創見","2300000","169693100","73.60","74.30","73.30","73.90","1.1000","1415"
"2453","凌群","810000","23710150","29.00","29.60","28.80","28.95","0.0000","433"
"2454","聯發科","2687000","2940830000","1090.00","1105.00","1085.00","1095.00","10.0000","1944"
"2455","全新","1888000","269595000","142.00","144.50","141.50","143.00","2.0000","1261"
"2456","奇力新","1918000","179507700","93.00","94.20","92.60","94.00","1.2000","1221"
"2457","飛宏","209376000","10475846200","48.05","52.00","48.05","49.90","2.5500","88876"
"2458","義隆","3281000","556427500","168.00","171.00","167.00","169.00","1.5000","1726"
"2459","敦吉","62000","3677400","59.10","59.60","59.10","59.10","0.0000","38"
"2460","建通","844000","23717100","28.40","28.40","27.85","27.95","-0.2000","431"
"2461","光群雷","1051000","24210400","22.85","23.20","22.75","23.20","0.5000","433"
"2462","良得電","3404000","101349200","28.50","30.65","28.30","30.20","2.0000","1629"
"2464","盟立","604000","25471500","42.00","42.45","41.95","42.40","0.5000","310"
"2465","麗臺","45379000","4255421400","93.00","98.00","90.40","91.20","2.1000","26920"
"2466","冠西電","81000","2926650","35.90","36.50","35.90","36.45","0.5500","46"
"2467","志聖","252000","12667000","49.95","50.70","49.95","50.30","0.5000","161"
"2468","華經","144000","1970950","13.65","13.80","13.60","13.60","0.1000","69"
"2471","資通","761000","20038750","25.70","26.70","25.50","26.50","0.9000","316"
"2472","立隆電","257000","16595800","65.00","65.00","64.30","64.50","-0.1000","206"
"2474","可成","1588000","246663500","156.00","157.00","155.00","155.00","-1.0000","923"
"2476","鉅祥","60650000","4584390400","73.00","78.00","73.00","77.90","6.7000","34428"
"2477","美隆電","286000","8760950","30.70","30.95","30.55","30.55","0.0500","145"
"2478","大毅","170000","11023800","64.80","65.20","64.70","64.70","-0.1000","130"
"2480","敦陽科","138000","10022600","72.90","72.90","72.40","72.90","0.2000","103"
"2481","強茂","15816000","1749422500","109.50","111.50","109.00","111.50","3.5000","9157"
"2482","連宇","1663000","27394200","16.30","16.70","16.25","16.35","0.0500","649"
"2483","百容","588000","14661900","24.60","25.40","24.55","24.55","0.2000","393"
"2484","希華","2980000","119335800","40.25","40.80","39.70","39.70","-0.4000","1835"
"2485","兆赫","1336000","28795000","21.60","21.70","21.40","21.55","0.1500","561"
"2486","一詮","4591000","243332900","52.80","53.80","52.30","52.40","0.3000","2828"
"2488","漢平","54000","1457100","27.25","27.25","26.90","26.95","-0.0500","37"
"2489","瑞軒","8857000","154659550","17.25","17.55","17.15","17.45","0.3000","2261"
"2491","吉祥全","86000","1793850","20.80","20.95","20.75","20.90","0.1500","46"
"2492","華新科","3141000","532116500","170.50","171.00","168.50","169.00","0.0000","2072"
"2493","揚博","154000","5853500","37.95","38.10","37.85","38.00","0.1500","96"
"2495","普安","23938000","494522100","20.75","21.50","20.00","20.00","-0.7000","9763"
"2496","卓越","24000","1186300","49.80","49.90","49.25","49.40","-0.1500","17"
"2497","怡利電","6306000","507071000","79.50","81.50","78.70","81.00","0.9000","3879"
"2498","宏達電","93047000","8035866600","85.40","87.80","84.70","87.10","3.3000","42616"
"2501","國建","203000","3895150","19.20","19.25","19.15","19.25","0.0500","88"
"2504","國產","5612000","162918350","29.40","29.40","28.80","29.00","-0.2000","2270"
"2505","國揚","232000","5499650","23.80","23.85","23.60","23.60","-0.1000","157"
"2506","太設","45000","439310","9.80","9.85","9.71","9.75","0.0200","21"
"2509","全坤建","96000","1750550","18.25","18.30","18.20","18.20","-0.0500","64"
"2511","太子","920000","12211850","13.35","13.35","13.20","13.30","-0.0500","319"
"2514","龍邦","50000","879500","17.70","17.70","17.50","17.60","0.1000","29"
"2515","中工","2085000","18425020","8.86","8.88","8.82","8.85","0.0200","535"
"2516","新建","195000","1207320","6.20","6.20","6.18","6.20","0.0200","76"
"2520","冠德","2232000","83621100","37.65","37.65","37.35","37.45","-0.2000","1435"
"2524","京城","55000","2167550","39.55","39.65","39.25","39.45","-0.0500","50"
"2527","宏璟","148000","4607600","31.40","31.40","31.05","31.25","0.1000","97"
"2528","皇普","37000","802650","21.65","21.85","21.65","21.65","0.0000","18"
"2530","華建","163000","2346250","14.45","14.45","14.35","14.35","-0.0500","65"
"2534","宏盛","2188000","52549100","23.95","24.15","23.85","24.10","0.1500","921"
"2535","達欣工","196000","6302450","32.25","32.30","32.05","32.20","0.0000","118"
"2536","宏普","96000","2204700","23.00","23.10","22.90","23.00","0.0500","46"
"2537","聯上發","1793000","18304100","10.25","10.30","10.15","10.25","0.0500","389"
"2538","基泰","913000","11267300","12.40","12.45","12.30","12.40","0.0500","371"
"2539","櫻花建","173000","5385300","31.10","31.20","31.05","31.15","0.0000","76"
"2540","愛山林","26000","1909900","74.20","74.20","72.60","72.80","0.8000","17"
"2542","興富發","14736000","677509050","46.00","46.25","45.80","46.05","-0.6500","6812"
"2543","皇昌","85000","678110","7.90","8.05","7.82","7.99","0.0900","36"
"2545","皇翔","213000","7895500","37.10","37.25","37.00","37.05","-0.1000","131"
"2546","根基","110000","5405550","49.40","49.40","49.05","49.05","-0.2000","69"
"2547","日勝生","1748000","17666300","10.00","10.20","10.00","10.20","0.2100","478"
"2548","華固","350000","31904100","91.20","91.60","91.00","91.20","0.0000","240"
"2597","潤弘","35000","4242000","121.00","121.50","121.00","121.00","0.0000","32"
"2601","益航","2524000","32962500","13.20","13.20","13.00","13.05","-0.0500","1085"
"2603","長榮","52022000","7293171500","141.50","142.00","139.00","139.00","-1.0000","17928"
"2605","新興","5794000","175800450","30.95","30.95","30.00","30.00","-0.6000","3337"
"2606","裕民","23241000","1483772100","65.00","65.40","63.00","63.00","-1.3000","9998"
"2607","榮運","1727000","49206050","28.80","28.80","28.35","28.35","-0.2000","886"
"2608","嘉里大榮","379000","16818900","44.70","44.70","44.25","44.60","0.2000","238"
"2609","陽明","34413000","4272825000","125.50","126.50","122.50","122.50","-1.5000","12898"
"2610","華航","87764000","2312284250","26.40","26.65","26.10","26.15","0.0500","20157"
"2611","志信","792000","15960900","20.30","20.50","20.05","20.15","-0.1000","407"
"2612","中航","926000","56536400","61.80","62.00","60.30","60.70","-0.5000","557"
"2613","中櫃","218000","5770700","26.50","26.70","26.25","26.50","0.1000","147"
"2614","東森","3495000","114810400","32.85","33.10","32.60","32.80","0.2500","1730"
"2615","萬海","24882000","5061643000","205.00","207.00","200.00","200.00","-4.0000","12532"
"2616","山隆","47000","1715200","36.40","36.60","36.40","36.50","0.1000","41"
"2617","台航","2053000","77655550","38.50","38.50","37.50","37.55","-0.5000","1075"
"2618","長榮航","48753000","1306884150","26.90","27.05","26.55","26.60","0.0000","13254"
"2630","亞航","137000","2550950","18.65","18.75","18.50","18.75","0.1500","80"
"2633","台灣高鐵","1979000","58129900","29.45","29.45","29.30","29.35","0.0000","776"
"2634","漢翔","1349000","39723700","29.40","29.70","29.30","29.35","0.2500","686"
"2636","台驊投控","1314000","180461500","139.50","139.50","136.00","136.50","-1.5000","977"
"2637","慧洋-KY","8222000","686867900","84.10","85.50","82.30","83.10","-0.4000","5053"
"2642","宅配通","255000","18545600","73.20","73.30","72.50","72.70","-0.4000","179"
"2701","萬企","49000","590800","12.00","12.15","12.00","12.15","0.1500","32"
"2702","華園","106000","2688800","25.35","25.55","25.20","25.30","-0.0500","63"
"2704","國賓","153000","4666250","30.60","30.65","30.40","30.55","-0.2000","133"
"2705","六福","118000","2052050","17.35","17.45","17.30","17.45","0.1500","42"
"2706","第一店","128000","1825450","14.15","14.35","14.15","14.30","0.2000","63"
"2707","晶華","130000","19452000","151.00","151.00","149.00","150.50","0.0000","106"
"2712","遠雄來","1000","37750","37.75","37.75","37.75","37.75","0.3500","1"
"2722","夏都","4000","122200","30.65","30.65","30.45","30.45","-0.0500","4"
"2723","美食-KY","738000","84102500","111.00","115.50","111.00","115.00","4.5000","566"
"2727","王品","149000","20032000","135.00","135.00","134.00","134.00","-0.5000","120"
"2731","雄獅","67000","5770400","86.70","86.70","85.80","86.10","0.3000","55"
"2739","寒舍","17000","383600","22.60","22.60","22.55","22.55","-0.0500","13"
"2748","雲品","146000","5695300","39.00","39.15","38.90","38.95","0.0000","118"
"2753","八方雲集","80000","10268000","129.50","129.50","128.00","128.50","0.0000","70"
"2801","彰銀","4995000","83405400","16.70","16.75","16.65","16.70","0.0500","1527"
"2809","京城銀","12656000","509290500","39.95","40.50","39.85","40.35","0.6000","2706"
"2812","台中銀","2314000","27916650","12.05","12.10","12.05","12.05","0.0000","590"
"2816","旺旺保","28000","547650","19.50","19.60","19.50","19.55","0.0500","21"
"2820","華票","1277000","21598650","17.05","17.05","16.80","16.95","0.0000","460"
"2832","台產","53000","1065400","20.10","20.15","20.10","20.10","0.0000","28"
"2834","臺企銀","10562000","102756450","9.73","9.75","9.70","9.75","0.0200","2484"
"2836","高雄銀","486000","5773300","11.80","11.95","11.80","11.90","0.1000","143"
"2836A","高雄銀甲特","5000","121500","24.30","24.30","24.30","24.30","0.0500","2"
"2838","聯邦銀","839000","10955350","13.10","13.10","13.00","13.05","0.0000","186"
"2838A","聯邦銀甲特","66000","3477900","52.70","52.70","52.60","52.70","0.0000","19"
"2841","台開","579000","2366900","4.08","4.10","4.08","4.10","0.0300","108"
"2845","遠東銀","2778000","29690400","10.65","10.70","10.65","10.70","0.0500","911"
"2849","安泰銀","49000","798050","16.30","16.35","16.25","16.30","0.0000","33"
"2850","新產","78000","3638500","46.50","46.75","46.50","46.65","0.1500","34"
"2851","中再保","252000","7120200","28.35","28.35","28.20","28.25","0.0500","132"
"2852","第一保","71000","1030400","14.50","14.55","14.45","14.50","0.0000","37"
"2855","統一證","545000","12519850","22.95","23.05","22.90","23.05","0.1000","189"
"2867","三商壽","2745000","24988540","9.13","9.13","9.09","9.10","-0.0100","567"
"2880","華南金","5202000","108718550","20.85","20.95","20.85","20.95","0.1000","1423"
"2881","富邦金","9152000","683482900","74.50","75.00","74.40","74.80","0.4000","3519"
"2881A","富邦特","27000","1705800","63.20","63.30","63.10","63.30","0.0000","8"
"2881B","富邦金乙特","90000","5640400","62.70","62.90","62.60","62.90","0.0000","16"
"2881C","富邦金丙特","84000","5049700","60.10","60.20","60.10","60.10","0.0000","84"
"2882","國泰金","11283000","681011800","60.30","60.60","60.20","60.50","0.2000","3954"
"2882A","國泰特","81000","5097600","62.90","63.10","62.90","63.10","0.0000","26"
"2882B","國泰金乙特","6000","377500","62.90","63.00","62.90","63.00","0.1000","6"
"2883","開發金","85127000","1418506500","16.65","16.75","16.55","16.70","0.0500","9996"
"2884","玉山金","8343000","232841800","27.80","28.00","27.80","27.90","0.0000","2673"
"2885","元大金","9301000","231778350","24.85","25.00","24.80","24.95","0.1500","2002"
"2886","兆豐金","15076000","535304400","35.60","35.65","35.40","35.50","-0.1500","5303"
"2887","台新金","6628000","123504550","18.65","18.70","18.60","18.65","0.0000","2287"
"2887E","台新戊特","43000","2283300","53.10","53.10","53.10","53.10","0.0000","29"
"2887F","台新戊特二","10000","519000","51.90","51.90","51.90","51.90","0.0000","4"
"2888","新光金","22739000","240047050","10.50","10.60","10.50","10.60","0.1000","3102"
"2888A","新光金甲特","29000","1229250","42.35","42.40","42.35","42.40","0.0000","14"
"2888B","新光金乙特","59000","2513150","42.55","42.60","42.55","42.60","0.0000","16"
"2889","國票金","2995000","47402300","15.80","15.90","15.80","15.85","0.0500","1221"
"2890","永豐金","11737000","187020500","15.95","16.00","15.85","16.00","0.1500","3320"
"2891","中信金","25209000","651123550","25.90","25.90","25.70","25.90","0.1000","5684"
"2891B","中信金乙特","61000","3847900","63.10","63.20","63.00","63.00","-0.2000","16"
"2891C","中信金丙特","12000","734100","61.00","61.30","61.00","61.30","0.0000","12"
"2892","第一金","7097000","171242550","24.10","24.20","24.05","24.15","0.0500","2197"
"2897","王道銀行","707000","5577800","7.88","7.90","7.87","7.89","0.0100","201"
"2897A","王道銀甲特","94000","949400","10.10","10.10","10.10","10.10","0.0000","23"
